user_id,name,description,category,price,stock,image,is_active
4,Product 1,High quality cat product.,other,4459.1,6,,true
8,Product 2,High quality cat product.,furniture,4688.77,59,,false
10,Product 3,High quality cat product.,grooming,3955.63,67,,true
5,Product 4,High quality cat product.,litter,1486.61,13,,true
5,Product 5,High quality cat product.,toy,975.83,48,,true
8,Product 6,High quality cat product.,grooming,3975.17,9,,false
9,Product 7,High quality cat product.,other,4762.42,81,,true
10,Product 8,High quality cat product.,furniture,4295.96,84,,true
1,Product 9,High quality cat product.,health,421.1,22,,false
7,Product 10,High quality cat product.,accessory,4338.08,53,,true
9,Product 11,High quality cat product.,litter,4862.5,19,,true
5,Product 12,High quality cat product.,litter,544.69,74,,true
3,Product 13,High quality cat product.,other,4326.87,43,,true
2,Product 14,High quality cat product.,food,1642.29,88,,true
6,Product 15,High quality cat product.,toy,325.85,99,,false
7,Product 16,High quality cat product.,health,4036.15,98,,false
4,Product 17,High quality cat product.,litter,3859.32,84,,true
2,Product 18,High quality cat product.,health,695.6,14,,false
6,Product 19,High quality cat product.,other,2447.25,16,,false
4,Product 20,High quality cat product.,grooming,3414.97,11,,true
9,Product 21,High quality cat product.,other,3799.55,74,,true
5,Product 22,High quality cat product.,accessory,4257.69,91,,true
8,Product 23,High quality cat product.,food,3974.39,12,,false
3,Product 24,High quality cat product.,toy,3040.89,31,,true
7,Product 25,High quality cat product.,accessory,4475.28,3,,false
2,Product 26,High quality cat product.,accessory,3415.38,56,,false
5,Product 27,High quality cat product.,litter,2688.92,5,,false
8,Product 28,High quality cat product.,furniture,3231.22,30,,true
7,Product 29,High quality cat product.,accessory,4429.67,39,,false
9,Product 30,High quality cat product.,other,1676.59,33,,false
7,Product 31,High quality cat product.,furniture,4357.86,34,,true
1,Product 32,High quality cat product.,furniture,4044.51,97,,false
2,Product 33,High quality cat product.,health,1858.58,100,,true
5,Product 34,High quality cat product.,grooming,2622.97,92,,true
4,Product 35,High quality cat product.,accessory,1900.33,14,,true
4,Product 36,High quality cat product.,furniture,2683.35,92,,false
6,Product 37,High quality cat product.,accessory,2802.69,92,,true
6,Product 38,High quality cat product.,food,1256.51,37,,false
4,Product 39,High quality cat product.,accessory,4689.85,81,,false
4,Product 40,High quality cat product.,food,810.84,76,,true
4,Product 41,High quality cat product.,accessory,2496.93,85,,false
5,Product 42,High quality cat product.,health,4349.09,64,,true
2,Product 43,High quality cat product.,health,3485.66,27,,false
2,Product 44,High quality cat product.,health,4321.03,42,,true
7,Product 45,High quality cat product.,health,4191.47,32,,true
8,Product 46,High quality cat product.,grooming,1059.31,16,,false
9,Product 47,High quality cat product.,food,843.13,88,,false
7,Product 48,High quality cat product.,litter,598.46,81,,true
1,Product 49,High quality cat product.,accessory,3676.42,31,,false
10,Product 50,High quality cat product.,furniture,2530.19,37,,false
